"","symbol","date","volume","open_price_min","open_price_max","close_price_min","close_price_max","low_price","high_price","average_price","tragetUpdatedDate","priceTargetAverage","priceTargetHigh","priceTargetLow","numberOfAnalysts","ratingBuy","ratingOverweight","ratingHold","ratingUnderweight","ratingSell","ratingNone","ratingScaleMark","consensusStartDate","consensusEndDate"
"1","A",2020-08-14,74848,96.97,98.62,96.97,98.63,96.97,98.63,98.1222815028902,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"2","A",2020-08-04,19196,97.03,97.49,97.09,97.47,97.03,97.49,97.5903488888889,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"3","A",2020-08-13,130444,97.25,99.09,97.29,99.09,97.25,99.09,98.0718936363636,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"4","A",2020-08-06,73138,96.36,97.42,96.36,97.43,96.36,97.44,96.6876297619048,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"5","A",2020-08-11,91438,96.24,97.26,96.225,97.26,96.205,97.26,96.8480139175257,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"6","A",2020-08-05,75214,97.72,98.83,97.74,98.83,97.72,98.83,98.4653416666667,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"7","A",2020-08-10,78504,97.02,97.96,97.02,97.96,96.98,97.96,97.4470114457831,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"8","A",2020-08-12,96074,96.53,98.24,96.56,98.24,96.53,98.24,97.5929085365854,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"9","A",2020-08-07,74474,96.935,97.78,96.935,97.79,96.935,97.8,97.2851352941176,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"10","A",2020-08-03,299552,97.99,99.33,97.97,99.34,97.95,99.34,98.3375874015748,2020-08-19,102.38,110,88,13,6,1,6,1,0,0,1.571429,2020-05-28,2020-06-28
"11","ABBV",2020-08-10,1283306,92.16,93.65,92.16,93.655,92.16,93.66,93.0926494623656,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"12","ABBV",2020-08-05,549104,93.16,94.66,93.15,94.59,93.14,94.66,94.1705614958449,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"13","ABBV",2020-08-14,393014,94.57,95.65,94.57,95.65,94.57,95.65,95.231039184953,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"14","ABBV",2020-08-04,196190,94.165,94.485,94.15,94.485,94.08,94.51,94.8465623188406,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"15","ABBV",2020-08-06,324218,91.82,92.79,91.81,92.8,91.805,92.8,92.4189285714286,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"16","ABBV",2020-08-03,318110,95.775,97.15,95.81,97.16,95.775,97.16,96.5364507407407,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"17","ABBV",2020-08-11,626018,92.245,93.28,92.23,93.26,92.23,93.29,92.6735416666667,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"18","ABBV",2020-08-07,329670,92.22,92.91,92.23,92.92,92.22,92.92,92.6050193548387,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"19","ABBV",2020-08-12,826608,93.76,95.55,93.87,95.56,93.76,95.58,94.6953873913044,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"20","ABBV",2020-08-13,560180,94.02,95.29,94.02,95.25,94.02,95.29,94.6559792284867,2020-09-01,110,127,96,16,11,1,5,0,0,0,1.323529,2020-08-12,2020-08-31
"21","ABC",2020-08-13,46018,101.425,102.79,101.425,102.79,101.425,102.79,101.995218644068,2020-08-11,112.07,127,90,15,9,1,7,1,0,0,1.5,2020-08-28,2020-08-31
"22","ABC",2020-08-07,87190,100.56,102.1,100.56,102.16,100.56,102.16,101.237646951219,2020-08-11,112.07,127,90,15,9,1,7,1,0,0,1.5,2020-08-28,2020-08-31
"23","ABC",2020-08-10,49036,101.94,103.625,101.94,103.625,101.94,103.625,102.807527659574,2020-08-11,112.07,127,90,15,9,1,7,1,0,0,1.5,2020-08-28,2020-08-31
"24","ABC",2020-08-03,122786,102.7,104.86,102.695,104.785,102.695,104.86,103.29228136646,2020-08-11,112.07,127,90,15,9,1,7,1,0,0,1.5,2020-08-28,2020-08-31
"25","ABC",2020-08-11,77181,101.11,102.94,101.14,102.94,101.11,102.94,102.40979704142,2020-08-11,112.07,127,90,15,9,1,7,1,0,0,1.5,2020-08-28,2020-08-31
